price_type,commodity,district_id,agri_year,monthly_mean,level,abs_diff
Farm Harvest,Biri,OD01,2013-14,4488.003333333333,4488.0,0.003333333333102928
Farm Harvest,Biri,OD01,2014-15,5066.0,5066.0,0.0
Farm Harvest,Biri,OD01,2015-16,5533.0,5533.0,0.0
Farm Harvest,Biri,OD01,2016-17,6018.003333333334,6018.0,0.0033333333340124227
Farm Harvest,Biri,OD01,2017-18,5847.0,5847.0,0.0
Farm Harvest,Biri,OD01,2018-19,5496.0,5496.0,0.0
Farm Harvest,Biri,OD01,2019-20,5788.68,5788.68,0.0
Farm Harvest,Biri,OD01,2020-21,6096.943333333334,6096.94,0.0033333333340124227
Farm Harvest,Biri,OD01,2021-22,6421.62,6421.62,0.0
Farm Harvest,Biri,OD01,2022-23,6763.59,6763.59,0.0
Farm Harvest,Biri,OD01,2023-24,7123.7733333333335,7123.77,0.003333333333102928
Farm Harvest,Biri,OD01,2024-25,7503.133333333334,7503.13,0.0033333333340124227
Farm Harvest,Biri,OD02,2013-14,4294.0,4294.0,0.0
Farm Harvest,Biri,OD02,2014-15,4587.0,4587.0,0.0
Farm Harvest,Biri,OD02,2015-16,5076.0,5076.0,0.0
Farm Harvest,Biri,OD02,2016-17,5600.0,5600.0,0.0
Farm Harvest,Biri,OD02,2017-18,6128.0,6128.0,0.0
Farm Harvest,Biri,OD02,2018-19,6400.0,6400.0,0.0
Farm Harvest,Biri,OD02,2019-20,6740.816666666667,6740.82,0.003333333333102928
Farm Harvest,Biri,OD02,2020-21,7099.786666666667,7099.79,0.003333333333102928
Farm Harvest,Biri,OD02,2021-22,7477.87,7477.87,0.0
Farm Harvest,Biri,OD02,2022-23,7876.09,7876.09,0.0
Farm Harvest,Biri,OD02,2023-24,8295.513333333334,8295.51,0.0033333333340124227
Farm Harvest,Biri,OD02,2024-25,8737.269999999999,8737.27,1.8189894035458565e-12
Farm Harvest,Biri,OD03,2013-14,4293.996666666667,4294.0,0.003333333333102928
Farm Harvest,Biri,OD03,2014-15,4764.996666666667,4765.0,0.003333333333102928
Farm Harvest,Biri,OD03,2015-16,5350.0,5350.0,0.0
Farm Harvest,Biri,OD03,2016-17,5875.0,5875.0,0.0
Farm Harvest,Biri,OD03,2017-18,7042.0,7042.0,0.0
Farm Harvest,Biri,OD03,2018-19,5191.996666666667,5192.0,0.003333333333102928
Farm Harvest,Biri,OD03,2019-20,5468.490000000001,5468.49,9.094947017729282e-13
Farm Harvest,Biri,OD03,2020-21,5759.7,5759.7,0.0
Farm Harvest,Biri,OD03,2021-22,6066.423333333333,6066.42,0.003333333333102928
Farm Harvest,Biri,OD03,2022-23,6389.4766666666665,6389.48,0.003333333333102928
Farm Harvest,Biri,OD03,2023-24,6729.733333333334,6729.73,0.0033333333340124227
Farm Harvest,Biri,OD03,2024-25,7088.110000000001,7088.11,9.094947017729282e-13
Farm Harvest,Biri,OD04,2013-14,4183.003333333333,4183.0,0.003333333333102928
Farm Harvest,Biri,OD04,2014-15,4721.0,4721.0,0.0
Farm Harvest,Biri,OD04,2015-16,5340.0,5340.0,0.0
Farm Harvest,Biri,OD04,2016-17,5856.0,5856.0,0.0
Farm Harvest,Biri,OD04,2017-18,5189.0,5189.0,0.0
Farm Harvest,Biri,OD04,2018-19,5458.0,5458.0,0.0
Farm Harvest,Biri,OD04,2019-20,5748.653333333333,5748.65,0.003333333333102928
